---
```json
{
  "document_metadata": { 
    "title": "Context-Aware Flow Matching for Trajectory Inference from Spatial Omics Data", 
    "style": "Academic Paper - Appendix/Experiments",
    "style_conformity": 1.0,
    "style_patch": null
  },
  "assets": []
}
```

## H. Additional Experiments & Ablations

### H.1. Next Step Sampling for Axolotl Brain Regeneration

*Table 11. Interpolation via Next Step Sampling at holdout time 3 for the Brain Regeneration dataset.*

| Sampling | Method | $\lambda$ | $\alpha$ | Weighted $\mathcal{W}_2$ | $\mathcal{W}_2$ | MMD | Energy |
| :--- | :--- | :---: | :---: | :--- | :--- | :--- | :--- |
| | CFM | $-$ | $-$ | $2.618 \pm 0.142$ | $2.579 \pm 0.197$ | $0.043 \pm 0.003$ | $12.505 \pm 1.271$ |
| | MOTFM | $-$ | $-$ | $2.567 \pm 0.088$ | $2.476 \pm 0.161$ | $0.040 \pm 0.003$ | $11.269 \pm 1.388$ |
| Next Step | CTF-C | $1$ | $0.2$ | $2.503 \pm 0.071$ | $2.425 \pm 0.239$ | $0.037 \pm 0.003$ | $9.868 \pm 1.293$ |
| | | $1$ | $0.5$ | $2.467 \pm 0.107$ | $2.301 \pm 0.163$ | $0.037 \pm 0.002$ | $9.532 \pm 1.093$ |
| | | $1$ | $0.8$ | $2.423 \pm 0.164$ | $2.293 \pm 0.103$ | $0.037 \pm 0.001$ | $9.874 \pm 0.659$ |
| | | $0$ | $0.2$ | $2.396 \pm 0.028$ | $2.100 \pm 0.102$ | $0.033 \pm 0.003$ | $8.577 \pm 0.976$ |
| | | $0$ | $0.5$ | $2.447 \pm 0.142$ | $2.337 \pm 0.216$ | $0.036 \pm 0.005$ | $9.696 \pm 1.882$ |
| | | $0$ | $0.8$ | $2.413 \pm 0.099$ | $2.293 \pm 0.161$ | $0.036 \pm 0.002$ | $9.114 \pm 1.092$ |
| | | $0.5$ | $0.2$ | $2.460 \pm 0.118$ | $2.342 \pm 0.144$ | $0.036 \pm 0.003$ | $9.500 \pm 1.067$ |
| | | $0.5$ | $0.5$ | $2.504 \pm 0.094$ | $2.309 \pm 0.139$ | $0.036 \pm 0.003$ | $9.394 \pm 1.431$ |
| | | $0.5$ | $0.8$ | $2.442 \pm 0.173$ | $2.353 \pm 0.241$ | $0.035 \pm 0.004$ | $9.008 \pm 2.094$ |
| | CTF-H | $0$ | $-$ | $2.528 \pm 0.143$ | $2.534 \pm 0.180$ | $0.040 \pm 0.004$ | $11.192 \pm 1.304$ |
| | | $1$ | $-$ | $\mathbf{2.316 \pm 0.141}$ | $\mathbf{1.969 \pm 0.221}$ | $\mathbf{0.030 \pm 0.004}$ | $\mathbf{6.359 \pm 1.336}$ |
| | | $0.5$ | $-$ | $2.519 \pm 0.167$ | $2.412 \pm 0.158$ | $0.039 \pm 0.004$ | $10.304 \pm 1.808$ |

<br>

*Table 12. Extrapolation via Next Step Sampling at holdout time 5 for the Brain Regeneration dataset.*

| Sampling | Method | $\lambda$ | $\alpha$ | Weighted $\mathcal{W}_2$ | $\mathcal{W}_2$ | MMD | Energy |
| :--- | :--- | :---: | :---: | :--- | :--- | :--- | :--- |
| | CFM | $-$ | $-$ | $7.124 \pm 0.443$ | $7.133 \pm 0.533$ | $0.276 \pm 0.011$ | $76.947 \pm 5.661$ |
| | MOTFM | $-$ | $-$ | $7.487 \pm 0.698$ | $7.449 \pm 0.931$ | $0.266 \pm 0.010$ | $81.965 \pm 9.812$ |
| Next Step | CTF-C | $1$ | $0.2$ | $7.257 \pm 0.597$ | $7.077 \pm 0.473$ | $0.257 \pm 0.004$ | $79.562 \pm 7.787$ |
| | | $1$ | $0.5$ | $6.968 \pm 0.608$ | $6.969 \pm 0.628$ | $0.265 \pm 0.009$ | $77.025 \pm 6.056$ |
| | | $1$ | $0.8$ | $7.695 \pm 0.443$ | $7.792 \pm 0.463$ | $0.266 \pm 0.007$ | $87.179 \pm 6.690$ |
| | | $0$ | $0.2$ | $8.170 \pm 0.663$ | $8.079 \pm 0.723$ | $0.269 \pm 0.008$ | $91.572 \pm 8.802$ |
| | | $0$ | $0.5$ | $7.244 \pm 0.804$ | $7.146 \pm 0.775$ | $0.265 \pm 0.003$ | $80.424 \pm 10.376$ |
| | | $0$ | $0.8$ | $7.382 \pm 1.068$ | $7.234 \pm 0.852$ | $0.267 \pm 0.009$ | $81.635 \pm 14.135$ |
| | | $0.5$ | $0.2$ | $7.194 \pm 0.239$ | $7.171 \pm 0.422$ | $0.266 \pm 0.001$ | $78.924 \pm 3.715$ |
| | | $0.5$ | $0.5$ | $7.188 \pm 0.391$ | $\mathbf{6.931 \pm 0.260}$ | $0.267 \pm 0.005$ | $78.992 \pm 6.195$ |
| | | $0.5$ | $0.8$ | $7.242 \pm 0.804$ | $7.166 \pm 0.980$ | $0.267 \pm 0.006$ | $80.509 \pm 10.304$ |
| | CTF-H | $0$ | $-$ | $\mathbf{6.914 \pm 0.471}$ | $7.198 \pm 0.726$ | $0.266 \pm 0.009$ | $\mathbf{76.149 \pm 8.436}$ |
| | | $1$ | $-$ | $7.505 \pm 0.667$ | $7.338 \pm 0.601$ | $\mathbf{0.263 \pm 0.006}$ | $83.425 \pm 8.793$ |
| | | $0.5$ | $-$ | $7.243 \pm 0.479$ | $7.157 \pm 0.641$ | $0.270 \pm 0.007$ | $79.826 \pm 8.067$ |

---
